severity	updateDate	comments	line	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-08-06T14:59:34+0900		387.0	javascript:S1301	SonarTest	5min	"""switch"" statements should have at least 3 ""case"" clauses"	2020-07-09T19:04:55+0900	CODE_SMELL		SonarTest:podcast/src/js/manager/ApplicationManager.js		default-organization	{startLine=387.0, endLine=387.0, startOffset=4.0, endOffset=10.0}	5min	AXPCWr0Ol4Vm_2mmHwsT	f4e1086f8dea98706eee4ad401ed5fbd	OPEN
MAJOR	2020-08-06T14:59:34+0900		122.0	css:S4656	SonarTest	1min	"Unexpected duplicate ""padding-bottom"""	2020-06-29T12:26:28+0900	BUG		SonarTest:podcast/src/components/Category.vue		default-organization	{startLine=122.0, endLine=122.0, startOffset=0.0, endOffset=27.0}	1min	AXPCWrzSl4Vm_2mmHwsG	9fef593c408eb4f5250c3bd04c962d0b	OPEN
MAJOR	2020-08-06T14:59:34+0900		107.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Category.vue		default-organization	{startLine=107.0, endLine=107.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrzSl4Vm_2mmHwsH	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		166.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Category.vue		default-organization	{startLine=166.0, endLine=166.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrzSl4Vm_2mmHwsI	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		299.0	css:S4666	SonarTest	1min	"Unexpected duplicate selector "".podcast-info"", first used at line 287"	2020-06-05T14:07:20+0900	CODE_SMELL		SonarTest:podcast/src/components/History.vue		default-organization	{startLine=299.0, endLine=299.0, startOffset=0.0, endOffset=19.0}	1min	AXPCWrzAl4Vm_2mmHwsE	1354016f4bbf5d63808620104b314a80	OPEN
MAJOR	2020-08-06T14:59:34+0900		227.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Player.vue		default-organization	{startLine=227.0, endLine=227.0, startOffset=0.0, endOffset=64.0}	1min	AXPCWryOl4Vm_2mmHwr6	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		235.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Player.vue		default-organization	{startLine=235.0, endLine=235.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWryOl4Vm_2mmHwr7	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		154.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Search.vue		default-organization	{startLine=154.0, endLine=154.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrx-l4Vm_2mmHwr2	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		187.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/Search.vue		default-organization	{startLine=187.0, endLine=187.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrx-l4Vm_2mmHwr3	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		325.0	css:S4666	SonarTest	1min	"Unexpected duplicate selector "".search-box #keyword"", first used at line 319"	2020-06-05T14:07:20+0900	CODE_SMELL		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=325.0, endLine=325.0, startOffset=0.0, endOffset=16.0}	1min	AXPCWrxul4Vm_2mmHwry	ba8d51da288fde925bd5ba6b7315bf45	OPEN
MAJOR	2020-08-06T14:59:34+0900		327.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=327.0, endLine=327.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrxul4Vm_2mmHwrs	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		352.0	css:S4656	SonarTest	1min	"Unexpected duplicate ""float"""	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=352.0, endLine=352.0, startOffset=0.0, endOffset=20.0}	1min	AXPCWrxul4Vm_2mmHwrq	8362db97bb3f06dc46dbfda3154e3154	OPEN
MAJOR	2020-08-06T14:59:34+0900		360.0	css:S4658	SonarTest	1min	Unexpected empty block	2020-06-05T14:07:20+0900	CODE_SMELL		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=360.0, endLine=360.0, startOffset=0.0, endOffset=17.0}	1min	AXPCWrxul4Vm_2mmHwro	5fcc8fe0dcb40b3bf2570d8771af3776	OPEN
MAJOR	2020-08-06T14:59:34+0900		350.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-06-05T14:07:20+0900	BUG		SonarTest:podcast/src/components/progress/Progress.vue		default-organization	{startLine=350.0, endLine=350.0, startOffset=0.0, endOffset=30.0}	1min	AXPCWrz-l4Vm_2mmHwsS	3298edad4fc30c5dffe8064c86d2fb23	OPEN
MAJOR	2020-08-06T14:59:34+0900		140.0	css:S4658	SonarTest	1min	Unexpected empty block	2020-06-04T14:31:32+0900	CODE_SMELL		SonarTest:podcast/src/components/InfoArea.vue		default-organization	{startLine=140.0, endLine=140.0, startOffset=0.0, endOffset=39.0}	1min	AXPCWrz0l4Vm_2mmHwsO	a550dd57366874edf062f28a9f533daa	OPEN
MAJOR	2020-08-06T14:59:34+0900		47.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/CategoryItem.vue		default-organization	{startLine=47.0, endLine=47.0, startOffset=0.0, endOffset=56.0}	1min	AXPCWrxjl4Vm_2mmHwrl	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		167.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/InfoArea.vue		default-organization	{startLine=167.0, endLine=167.0, startOffset=0.0, endOffset=56.0}	1min	AXPCWrz0l4Vm_2mmHwsP	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		295.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/Player.vue		default-organization	{startLine=295.0, endLine=295.0, startOffset=0.0, endOffset=64.0}	1min	AXPCWryOl4Vm_2mmHwr8	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		303.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/Player.vue		default-organization	{startLine=303.0, endLine=303.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWryOl4Vm_2mmHwr9	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		386.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/Player.vue		default-organization	{startLine=386.0, endLine=386.0, startOffset=0.0, endOffset=58.0}	1min	AXPCWryOl4Vm_2mmHwr-	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		87.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/Search.vue		default-organization	{startLine=87.0, endLine=87.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrx-l4Vm_2mmHwr0	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		118.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/Search.vue		default-organization	{startLine=118.0, endLine=118.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrx-l4Vm_2mmHwr1	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		256.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=256.0, endLine=256.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrxul4Vm_2mmHwrr	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		401.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=401.0, endLine=401.0, startOffset=0.0, endOffset=60.0}	1min	AXPCWrxul4Vm_2mmHwrt	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		458.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=458.0, endLine=458.0, startOffset=0.0, endOffset=64.0}	1min	AXPCWrxul4Vm_2mmHwru	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		502.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=502.0, endLine=502.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrxul4Vm_2mmHwrv	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		510.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/SearchResult.vue		default-organization	{startLine=510.0, endLine=510.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrxul4Vm_2mmHwrw	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		77.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/popup/guidePopup.vue		default-organization	{startLine=77.0, endLine=77.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrwFl4Vm_2mmHwrd	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		86.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/popup/guidePopup.vue		default-organization	{startLine=86.0, endLine=86.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrwFl4Vm_2mmHwre	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		108.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/popup/listPopup.vue		default-organization	{startLine=108.0, endLine=108.0, startOffset=0.0, endOffset=62.0}	1min	AXPCWrwol4Vm_2mmHwrf	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
MAJOR	2020-08-06T14:59:34+0900		137.0	css:S4649	SonarTest	1min	Unexpected missing generic font family	2020-05-26T15:42:57+0900	BUG		SonarTest:podcast/src/components/popup/listPopup.vue		default-organization	{startLine=137.0, endLine=137.0, startOffset=0.0, endOffset=66.0}	1min	AXPCWrwol4Vm_2mmHwrg	b9adfaca01a7bfb2f7a30f370e03380d	OPEN
